Symbol,Name
ABB.NS,ABB India Ltd.
ADANIENSOL.NS,Adani Energy Solutions Ltd.
ADANIENT.NS,Adani Enterprises Ltd.
ADANIGREEN.NS,Adani Green Energy Ltd.
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER.NS,Adani Power Ltd.
AMBUJACEM.NS,Ambuja Cements Ltd.
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.
ASIANPAINT.NS,Asian Paints Ltd.
DMART.NS,Avenue Supermarts Ltd.
AXISBANK.NS,Axis Bank Ltd.
BAJAJ-AUTO.NS,Bajaj Auto Ltd.
BAJFINANCE.NS,Bajaj Finance Ltd.
BAJAJFINSV.NS,Bajaj Finserv Ltd.
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.
BANKBARODA.NS,Bank of Baroda
BEL.NS,Bharat Electronics Ltd.
BPCL.NS,Bharat Petroleum Corporation Ltd.
BHARTIARTL.NS,Bharti Airtel Ltd.
BOSCHLTD.NS,Bosch Ltd.
BRITANNIA.NS,Britannia Industries Ltd.
CGPOWER.NS,CG Power and Industrial Solutions Ltd.
CANBK.NS,Canara Bank
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.
CIPLA.NS,Cipla Ltd.
COALINDIA.NS,Coal India Ltd.
CUMMINSIND.NS,Cummins India Ltd.
DLF.NS,DLF Ltd.
DIVISLAB.NS,Divi's Laboratories Ltd.
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.
EICHERMOT.NS,Eicher Motors Ltd.
ETERNAL.NS,Eternal Ltd.
GAIL.NS,GAIL (India) Ltd.
GODREJCP.NS,Godrej Consumer Products Ltd.
GRASIM.NS,Grasim Industries Ltd.
HCLTECH.NS,HCL Technologies Ltd.
HDFCAMC.NS,HDFC Asset Management Company Ltd.
HDFCBANK.NS,HDFC Bank Ltd.
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.
HINDALCO.NS,Hindalco Industries Ltd.
HAL.NS,Hindustan Aeronautics Ltd.
HINDUNILVR.NS,Hindustan Unilever Ltd.
HINDZINC.NS,Hindustan Zinc Ltd.
HYUNDAI.NS,Hyundai Motor India Ltd.
ICICIBANK.NS,ICICI Bank Ltd.
ITC.NS,ITC Ltd.
INDHOTEL.NS,Indian Hotels Co. Ltd.
IOC.NS,Indian Oil Corporation Ltd.
IRFC.NS,Indian Railway Finance Corporation Ltd.
INFY.NS,Infosys Ltd.
INDIGO.NS,InterGlobe Aviation Ltd.
JSWSTEEL.NS,JSW Steel Ltd.
JINDALSTEL.NS,Jindal Steel Ltd.
JIOFIN.NS,Jio Financial Services Ltd.
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.
LTM.NS,LTM Ltd.
LT.NS,Larsen & Toubro Ltd.
LODHA.NS,Lodha Developers Ltd.
M&M.NS,Mahindra & Mahindra Ltd.
MARUTI.NS,Maruti Suzuki India Ltd.
MAXHEALTH.NS,Max Healthcare Institute Ltd.
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.
MUTHOOTFIN.NS,Muthoot Finance Ltd.
NTPC.NS,NTPC Ltd.
NESTLEIND.NS,Nestle India Ltd.
ONGC.NS,Oil & Natural Gas Corporation Ltd.
PIDILITIND.NS,Pidilite Industries Ltd.
PFC.NS,Power Finance Corporation Ltd.
POWERGRID.NS,Power Grid Corporation of India Ltd.
PNB.NS,Punjab National Bank
RECLTD.NS,REC Ltd.
RELIANCE.NS,Reliance Industries Ltd.
SBILIFE.NS,SBI Life Insurance Company Ltd.
MOTHERSON.NS,Samvardhana Motherson International Ltd.
SHREECEM.NS,Shree Cement Ltd.
SHRIRAMFIN.NS,Shriram Finance Ltd.
ENRIN.NS,Siemens Energy India Ltd.
SIEMENS.NS,Siemens Ltd.
SOLARINDS.NS,Solar Industries India Ltd.
SBIN.NS,State Bank of India
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.
TVSMOTOR.NS,TVS Motor Company Ltd.
TATACAP.NS,Tata Capital Ltd.
TCS.NS,Tata Consultancy Services Ltd.
TATACONSUM.NS,Tata Consumer Products Ltd.
TMCV.NS,Tata Motors Ltd.
TMPV.NS,Tata Motors Passenger Vehicles Ltd.
TATAPOWER.NS,Tata Power Co. Ltd.
TATASTEEL.NS,Tata Steel Ltd.
TECHM.NS,Tech Mahindra Ltd.
TITAN.NS,Titan Company Ltd.
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.
TRENT.NS,Trent Ltd.
ULTRACEMCO.NS,UltraTech Cement Ltd.
UNIONBANK.NS,Union Bank of India
UNITDSPR.NS,United Spirits Ltd.
VBL.NS,Varun Beverages Ltd.
VEDL.NS,Vedanta Ltd.
WIPRO.NS,Wipro Ltd.
ZYDUSLIFE.NS,Zydus Lifesciences Ltd.
